Comuna,Region,Año,Nivel_ICVU,Salud_Medioambiente,Vivienda_Entorno,Conectividad_Movilidad,Condiciones_Laborales,Ambiente_Negocios,Condiciones_Socioculturales
Vitacura,Metropolitana,2024,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Vitacura,Metropolitana,2023,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Lo Barnechea,Metropolitana,2024,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Lo Barnechea,Metropolitana,2023,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Las Condes,Metropolitana,2024,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Las Condes,Metropolitana,2023,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Providencia,Metropolitana,2024,Alto,Alto,Medio Alto,Alto,Alto,Alto,Medio Alto
Providencia,Metropolitana,2023,Alto,Alto,Medio Alto,Alto,Alto,Alto,Medio Alto
Ñuñoa,Metropolitana,2024,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto
Ñuñoa,Metropolitana,2023,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto
San Miguel,Metropolitana,2024,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
San Miguel,Metropolitana,2023,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Estación Central,Metropolitana,2024,Medio Alto,Alto,Bajo,Medio Alto,Medio Bajo,Medio Alto,Medio Bajo
Estación Central,Metropolitana,2023,Medio Alto,Alto,Bajo,Medio Alto,Medio Bajo,Medio Alto,Medio Bajo
Santiago,Metropolitana,2024,Medio Alto,Medio Alto,Medio Bajo,Alto,Medio Alto,Medio Alto,Medio Bajo
Santiago,Metropolitana,2023,Medio Alto,Medio Alto,Medio Bajo,Alto,Medio Alto,Medio Alto,Medio Bajo
La Florida,Metropolitana,2024,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo
La Florida,Metropolitana,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
La Reina,Metropolitana,2024,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
La Reina,Metropolitana,2023,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
Macul,Metropolitana,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Macul,Metropolitana,2023,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto
San Bernardo,Metropolitana,2024,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
San Bernardo,Metropolitana,2023,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
Pudahuel,Metropolitana,2024,Medio Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo
Pudahuel,Metropolitana,2023,Medio Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo
Puente Alto,Metropolitana,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Medio Bajo,Bajo
Puente Alto,Metropolitana,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Medio Bajo,Bajo
